Kit_ID,primer,replicate,Cq
dcaeb59a89,N1,1.0,35.35
dcaeb59a89,N1,2.0,35.28
dcaeb59a89,N1,3.0,35.36
dcaeb59a89,N2,1.0,35.35
dcaeb59a89,N2,2.0,35.3
dcaeb59a89,N2,3.0,35.85
0681d9a7c1,N1,1.0,33.23
0681d9a7c1,N1,2.0,33.2
0681d9a7c1,N1,3.0,33.45
0681d9a7c1,N2,1.0,34.42
0681d9a7c1,N2,2.0,35.36
0681d9a7c1,N2,3.0,34.6
856aadabed,N1,1.0,32.7
856aadabed,N1,2.0,32.79
856aadabed,N1,3.0,32.58
856aadabed,N2,1.0,34.53
856aadabed,N2,2.0,32.84
856aadabed,N2,3.0,33.1
9187bcde61,N1,1.0,32.11
9187bcde61,N1,2.0,31.9
9187bcde61,N1,3.0,31.14
9187bcde61,N2,1.0,35.15
9187bcde61,N2,2.0,34.93
9187bcde61,N2,3.0,35.41
a1fb899fec,N1,1.0,32.87
a1fb899fec,N1,2.0,32.22
a1fb899fec,N1,3.0,32.86
a1fb899fec,N2,1.0,33.56
a1fb899fec,N2,2.0,34.04
a1fb899fec,N2,3.0,33.91
3545254ec7,N1,1.0,30.7
3545254ec7,N1,2.0,31.14
3545254ec7,N1,3.0,31.06
3545254ec7,N2,1.0,31.8
3545254ec7,N2,2.0,31.58
3545254ec7,N2,3.0,31.94
a0bb036d5b,N1,1.0,33.28
a0bb036d5b,N1,2.0,32.55
a0bb036d5b,N1,3.0,32.83
a0bb036d5b,N2,1.0,33.85
a0bb036d5b,N2,2.0,34.06
a0bb036d5b,N2,3.0,33.59
ba70436e64,N1,1.0,33.44
ba70436e64,N1,2.0,33.23
ba70436e64,N1,3.0,33.92
ba70436e64,N2,1.0,34.73
ba70436e64,N2,2.0,34.41
ba70436e64,N2,3.0,34.11
3ceda5b8f4,N1,1.0,31.82
3ceda5b8f4,N1,2.0,31.83
3ceda5b8f4,N1,3.0,31.81
3ceda5b8f4,N2,1.0,32.15
3ceda5b8f4,N2,2.0,32.26
3ceda5b8f4,N2,3.0,32.19
a2bd892953,N1,1.0,34.66
a2bd892953,N1,2.0,33.51
a2bd892953,N1,3.0,34.42
a2bd892953,N2,1.0,34.49
a2bd892953,N2,2.0,34.62
a2bd892953,N2,3.0,34.18
8b695b28da,N1,1.0,31.75
8b695b28da,N1,2.0,31.83
8b695b28da,N1,3.0,31.76
8b695b28da,N2,1.0,32.31
8b695b28da,N2,2.0,32.87
8b695b28da,N2,3.0,32.73
b4ea864360,N1,1.0,32.69
b4ea864360,N1,2.0,32.61
b4ea864360,N1,3.0,32.47
b4ea864360,N2,1.0,33.49
b4ea864360,N2,2.0,33.44
b4ea864360,N2,3.0,33.45
355f142ebf,N1,1.0,31.41
355f142ebf,N1,2.0,31.64
355f142ebf,N1,3.0,31.33
355f142ebf,N2,1.0,32.75
355f142ebf,N2,2.0,33.1
355f142ebf,N2,3.0,
7e7b62a65e,N1,1.0,32.15
7e7b62a65e,N1,2.0,31.72
7e7b62a65e,N1,3.0,31.62
7e7b62a65e,N2,1.0,32.67
7e7b62a65e,N2,2.0,32.39
7e7b62a65e,N2,3.0,31.98
75acd78083,N1,1.0,33.22
75acd78083,N1,2.0,32.68
75acd78083,N1,3.0,32.99
75acd78083,N2,1.0,34.31
75acd78083,N2,2.0,34.01
75acd78083,N2,3.0,34.73
91c82e4038,N1,1.0,
91c82e4038,N1,2.0,38.83
91c82e4038,N1,3.0,37.36
91c82e4038,N2,1.0,35.92
91c82e4038,N2,2.0,35.04
91c82e4038,N2,3.0,36.71
eda521d80f,N1,1.0,34.03
eda521d80f,N1,2.0,34.99
eda521d80f,N1,3.0,
eda521d80f,N2,1.0,34.42
eda521d80f,N2,2.0,35.4
eda521d80f,N2,3.0,34.49
8cdb8fe830,N1,1.0,34.02
8cdb8fe830,N1,2.0,34.09
8cdb8fe830,N1,3.0,34.75
8cdb8fe830,N2,1.0,35.03
8cdb8fe830,N2,2.0,35.64
8cdb8fe830,N2,3.0,34.71
b6313a2fe3,N1,1.0,34.46
b6313a2fe3,N1,2.0,34.57
b6313a2fe3,N1,3.0,33.94
b6313a2fe3,N2,1.0,35.31
b6313a2fe3,N2,2.0,36.47
b6313a2fe3,N2,3.0,35.26
7ecf807663,N1,1.0,32.4
7ecf807663,N1,2.0,32.19
7ecf807663,N1,3.0,32.38
7ecf807663,N2,1.0,32.64
7ecf807663,N2,2.0,32.72
7ecf807663,N2,3.0,32.92
8ab3911ce0,N1,1.0,31.81
